,RANK  NAME,TITLE,COUNTRY,RATING,GAMES,B-YEAR
1," Carlsen, Magnus", g, NOR,2843,0,1990
2," Caruana, Fabiano", g, USA,2816,1,1992
3," Mamedyarov, Shakhriyar", g, AZE,2808,0,1985
4," Ding, Liren", g, CHN,2798,3,1992
5," Kramnik, Vladimir", g, RUS,2792,0,1975
6," Vachier-Lagrave, Maxime", g, FRA,2789,4,1990
7," Giri, Anish", g, NED,2782,1,1994
8," Karjakin, Sergey", g, RUS,2782,0,1990
9," So, Wesley", g, USA,2778,0,1993
10," Nakamura, Hikaru", g, USA,2769,0,1987
11," Grischuk, Alexander", g, RUS,2766,0,1983
12," Aronian, Levon", g, ARM,2764,3,1982
13," Yu, Yangyi", g, CHN,2759,3,1994
14," Anand, Viswanathan", g, IND,2759,1,1969
15," Svidler, Peter", g, RUS,2753,10,1976
16," Nepomniachtchi, Ian", g, RUS,2751,0,1990
17," Radjabov, Teimour", g, AZE,2751,0,1987
18," Topalov, Veselin", g, FID,2747,0,1975
19," Jakovenko, Dmitry", g, RUS,2735,0,1983
20," Vitiugov, Nikita", g, RUS,2734,7,1987
21," Wei, Yi", g, CHN,2734,0,1999
22," Harikrishna, P.", g, IND,2732,6,1986
23," Duda, Jan-Krzysztof", g, POL,2731,9,1998
24," Wojtaszek, Radoslaw", g, POL,2730,12,1987
25," Le, Quang Liem", g, VIE,2728,0,1991
26," Navara, David", g, CZE,2727,0,1985
27," Li, Chao b", g, CHN,2725,3,1989
28," Rapport, Richard", g, HUN,2719,5,1996
29," Bu, Xiangzhi", g, CHN,2718,3,1985
30," Shankland, Samuel", g, USA,2717,10,1991
31," Cheparinov, Ivan", g, FID,2712,6,1986
32," Vidit, Santosh Gujrathi", g, IND,2710,5,1994
33," Ivanchuk, Vassily", g, UKR,2710,4,1969
34," Wang, Hao", g, CHN,2710,0,1989
35," Bacrot, Etienne", g, FRA,2709,6,1983
36," Mamedov, Rauf", g, AZE,2708,0,1988
37," Vallejo Pons, Francisco", g, ESP,2707,8,1982
38," Adams, Michael", g, ENG,2706,4,1971
39," Kryvoruchko, Yuriy", g, UKR,2705,0,1986
40," Artemiev, Vladislav", g, RUS,2704,9,1998
41," Fedoseev, Vladimir", g, RUS,2704,8,1995
42," Tomashevsky, Evgeny", g, RUS,2702,9,1987
43," Andreikin, Dmitry", g, RUS,2702,0,1990
44," Eljanov, Pavel", g, UKR,2702,0,1983
45," Matlakov, Maxim", g, RUS,2699,9,1991
46," Almasi, Zoltan", g, HUN,2699,1,1976
47," Naiditsch, Arkadij", g, AZE,2697,5,1985
48," Sadler, Matthew D", g, ENG,2693,3,1974
49," Nabaty, Tamir", g, ISR,2692,0,1991
50," Dubov, Daniil", g, RUS,2691,8,1996
51," Leko, Peter", g, HUN,2691,3,1979
52," Gelfand, Boris", g, ISR,2689,5,1968
53," Rodshtein, Maxim", g, ISR,2688,8,1989
54," Howell, David W L", g, ENG,2687,8,1990
55," Ponomariov, Ruslan", g, UKR,2686,0,1983
56," Malakhov, Vladimir", g, RUS,2685,11,1980
57," Saric, Ivan", g, CRO,2685,9,1990
58," Inarkiev, Ernesto", g, RUS,2684,10,1985
59," Sargissian, Gabriel", g, ARM,2680,0,1983
60," Amin, Bassem", g, EGY,2679,10,1988
61," Wang, Yue", g, CHN,2679,3,1987
62," Ragger, Markus", g, AUT,2677,4,1988
63," Berkes, Ferenc", g, HUN,2676,2,1985
64," Kamsky, Gata", g, USA,2675,9,1974
65," Van Wely, Loek", g, NED,2675,4,1972
66," Ni, Hua", g, CHN,2674,3,1983
67," Nisipeanu, Liviu-Dieter", g, GER,2672,9,1976
68," Adhiban, B.", g, IND,2671,0,1992
69," Demchenko, Anton", g, RUS,2670,11,1987
70," Jones, Gawain C B", g, ENG,2670,3,1987
71," Laznicka, Viktor", g, CZE,2670,3,1988
72," Robson, Ray", g, USA,2670,0,1994
73," McShane, Luke J", g, ENG,2669,0,1984
74," Grandelius, Nils", g, SWE,2668,12,1993
75," Najer, Evgeniy", g, RUS,2668,8,1977
76," Korobov, Anton", g, UKR,2667,9,1985
77," Safarli, Eltaj", g, AZE,2666,16,1992
78," Sasikiran, Krishnan", g, IND,2666,0,1981
79," Sjugirov, Sanan", g, RUS,2663,0,1993
80," Kravtsiv, Martyn", g, UKR,2662,2,1990
81," Kasimdzhanov, Rustam", g, UZB,2662,1,1979
82," Melkumyan, Hrant", g, ARM,2662,0,1989
83," Kuzubov, Yuriy", g, UKR,2661,5,1990
84," Short, Nigel D", g, ENG,2659,9,1965
85," Motylev, Alexander", g, RUS,2659,8,1979
86," Cori, Jorge", g, PER,2659,0,1995
87," Moiseenko, Alexander", g, UKR,2658,6,1980
88," Van Kampen, Robin", g, NED,2658,2,1994
89," Hou, Yifan", g, CHN,2658,0,1994
90," Dreev, Aleksey", g, RUS,2657,14,1969
91," Sethuraman, S.P.", g, IND,2657,0,1993
92," Swiercz, Dariusz", g, POL,2657,0,1994
93," Xiong, Jeffery", g, USA,2656,9,2000
94," Morozevich, Alexander", g, RUS,2656,5,1977
95," Lenic, Luka", g, SLO,2656,2,1988
96," Negi, Parimarjan", g, IND,2656,0,1993
97," Akopian, Vladimir", g, ARM,2655,0,1971
98," Akobian, Varuzhan", g, USA,2654,9,1983
99," Guseinov, Gadir", g, AZE,2654,9,1986
100," Anton Guijarro, David", g, ESP,2652,10,1995
101," Rublevsky, Sergei", g, RUS,2652,7,1974
102," Areshchenko, Alexander", g, UKR,2652,0,1986
103," Ganguly, Surya Shekhar", g, IND,2652,0,1983
104," Iturrizaga Bonelli, Eduardo", g, VEN,2652,0,1989
